brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
140,Sierra Nevada Brewing Co.,1280873878,3.0,3.0,3.5,jdhilt,American Pale Ale (APA),3.5,3.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1244652988,4.0,3.5,3.0,reallyhoppie,American Pale Ale (APA),3.5,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1140124295,4.0,4.0,4.0,acer95,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1101535902,5.0,3.5,5.0,MrNuggets,American Pale Ale (APA),5.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1273369662,3.0,4.0,4.0,7thInningSuds,American Pale Ale (APA),3.0,3.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1316565406,4.0,4.0,4.0,match1112,American Pale Ale (APA),4.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1231986998,4.0,2.5,4.0,rlparker3,American Pale Ale (APA),3.0,3.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1229055716,5.0,3.5,4.5,xhcadamx,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1224795909,4.0,3.5,3.5,guntherhophead,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1223241963,4.5,4.0,4.0,marlinsfan4,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1202522025,4.5,4.5,4.0,zseeanz,American Pale Ale (APA),4.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1202431180,3.5,3.5,4.0,SpencerT,American Pale Ale (APA),3.5,3.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1202421684,4.0,3.5,4.0,BMan1113VR,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1099547819,4.0,4.0,4.0,oval,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1312032283,4.5,4.0,4.5,tdm168,American Pale Ale (APA),4.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1192159734,4.5,3.5,3.5,nbrown,American Pale Ale (APA),3.5,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1189010129,3.5,3.5,4.0,Floydster,American Pale Ale (APA),4.0,3.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1187977553,4.5,4.5,4.0,nosbocaj,American Pale Ale (APA),4.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1187914582,4.5,3.5,4.0,zappafan99,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1184915873,4.5,3.5,3.0,Durge,American Pale Ale (APA),4.5,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1065314829,4.5,3.0,4.0,Webby64,American Pale Ale (APA),4.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1222210709,4.0,4.0,4.0,beerfairy,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1171845133,4.0,3.5,4.0,PJC,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237687279,4.5,4.0,4.5,OzarkElmo,American Pale Ale (APA),3.5,3.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1162335170,5.0,3.0,4.0,Doomcifer,American Pale Ale (APA),3.5,3.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1235457457,4.0,4.0,4.0,sliverX,American Pale Ale (APA),4.0,3.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1238733734,4.5,4.0,4.0,ocelot2500,American Pale Ale (APA),4.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1238884831,4.5,4.0,3.5,wheatyweiss,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1238820692,4.5,4.0,4.0,ThePeskyDingo,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1238778924,4.0,4.0,4.0,Jimbo87,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237746100,5.0,4.5,4.0,BeerBubby,American Pale Ale (APA),4.5,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1238730210,4.5,3.5,4.0,WalrusJockey,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1238612198,4.0,3.5,4.5,JohnQVegas,American Pale Ale (APA),4.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1238494311,3.5,4.0,3.0,laituegonflable,American Pale Ale (APA),3.5,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1238283533,4.5,4.0,4.0,bsend,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1238278756,4.0,4.0,4.0,Yeastcakes,American Pale Ale (APA),3.5,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1238106106,4.0,4.0,5.0,mtbbaboon,American Pale Ale (APA),4.5,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237976396,3.5,3.5,4.5,IMincedTheKing,American Pale Ale (APA),3.5,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237956808,4.5,3.5,4.0,LordAdmNelson,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237947497,4.5,4.0,4.0,atsprings,American Pale Ale (APA),4.0,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237848593,4.5,5.0,4.5,RoadLizard,American Pale Ale (APA),4.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237640106,4.5,4.0,4.0,Kolsch,American Pale Ale (APA),4.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237584273,4.5,4.5,3.5,Rainne,American Pale Ale (APA),4.5,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237584112,4.5,4.5,4.0,Rainne,American Pale Ale (APA),4.0,4.5,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237572510,4.0,4.0,3.5,FallinDeck,American Pale Ale (APA),3.5,4.0,Sierra Nevada Pale Ale,5.6,276
140,Sierra Nevada Brewing Co.,1237555251,3.5,3.0,3.0,jujubeast6000,American Pale Ale (APA),3.0,3.5,Sierra Nevada Pale Ale,5.6,276
